tweet,date,city,user_location,place,coordinates,id,link
"#AlAireEnLaFM Maria Paula Ochoa:  Yo nunca había estado en una situación tan hostil, era la primera vez que estaba en dentro de una multitud de seguidores de Donald Trump 

Participe en nuestro tema del día: #MiFelicidadEs 

https://t.co/eyTGBdxAeD",2020-11-12 14:45:35,Bogota,"Bogotá, Colombia",,,1326898942060224513,https://twitter.com/i/web/status/1326898942060224513
"#AlAireEnLaFM Maria Paula Ochoa:  En ese momento vienen dos seguidores de Donald Trump a gritarnos, uno de ellos me habló al oído.  

Participe en nuestro tema del día: #MiFelicidadEs 

https://t.co/eyTGBdxAeD",2020-11-12 14:44:36,Bogota,"Bogotá, Colombia",,,1326898698606047233,https://twitter.com/i/web/status/1326898698606047233
"@GabrielPeralBa Hillary Clinton concedió un día después de las elecciones. 

https://t.co/Pn8AdZRB3I",2020-11-12 14:02:53,Bogota,"Bogotá, Colombia",,,1326888200242126850,https://twitter.com/i/web/status/1326888200242126850
"La máquina de mentiras de Donald Trump se atoró. Cerrar su transmisión tejió un nudo entre censura y contención de fakes y destapó el poder editorial de los medios.

https://t.co/2wUzKBPTuE",2020-11-12 14:00:50,Bogota,Bogotá-Colombia,,,1326887681494818816,https://twitter.com/i/web/status/1326887681494818816
"La izquierda progresista y moralista tiene cansado al hombre del común y apesar de lo nefasto de Donald Trump es la respuesta natural al problema de hoy... 
La gente que quiere imponer un estilo de vida a todas las demás.
Desde acá les digo se pueden joder malditos zurdos hdp https://t.co/A0ciFGofqK",2020-11-12 13:49:14,Bogota,"Bogotá, Colombia",,,1326884761252540419,https://twitter.com/i/web/status/1326884761252540419
"Chapéu Monsieur Thierry. Ante el improductivo exhibicionismo moral, el día de las elecciones, “mamados” de que les digan cómo tiene que vivir su vida, votan por alguien como Donald Trump https://t.co/tz5GRDuCvx",2020-11-12 13:01:29,Bogota,"Bogotá, Colombia",,,1326872748078018560,https://twitter.com/i/web/status/1326872748078018560
@PPabloTorres11 @Corpereira Pereira haciendo un Donald Trump,2020-11-12 10:52:10,Bogota,Manizales,,,1326840202250366977,https://twitter.com/i/web/status/1326840202250366977
"@WRadioColombia 
#PrudenciaCon con lo que pretende Donald Trump posterior a su derrota en las elecciones de EEUU.
QUIERO EL BONO FALABELLA",2020-11-12 10:33:46,Bogota,Armenia,,,1326835571436761090,https://twitter.com/i/web/status/1326835571436761090
"l viernes, la administración del republicano despidió a Bonnie Glick, administradora adjunta de la Agencia de Estados Unidos para el Desarrollo Internacional, sin ninguna justificación.
https://t.co/8AxJYrVYoR",2020-11-12 10:15:03,Bogota,"Bogotá, Colombia",,,1326830861715714053,https://twitter.com/i/web/status/1326830861715714053
"Yo sigo a Álvaro Uribe Vélez
Yo admiro a Donald Trump
Yo me identifico con Jair Bolsonaro

Estas tres personas representan mi pensamiento e ideales.

Soy de Derecha orgullosamente

Por que valoro el esfuerzo y el mérito aún a pesar de mi situación no quiero nada regalado 

🙋",2020-11-12 05:28:09,Bogota,BOGOTA,,,1326758662292037632,https://twitter.com/i/web/status/1326758662292037632
"Con insistencia se habla de un indulto de sí mismo de Donald Trump, por mario arias gómez. https://t.co/66rxFfWUOA https://t.co/WJ2jDtD6cO",2020-11-12 03:53:07,Bogota,Bogotá - Colombia,,,1326734744776822785,https://twitter.com/i/web/status/1326734744776822785
Y van a quedar mamando porque Donald Trump les puso una trampa y ese estado profundo satánico y globalista va caer y ser expuesto en todo el mundo. https://t.co/BfiqAAELUY,2020-11-12 03:47:41,Bogota,Paratebueno,,,1326733376485724160,https://twitter.com/i/web/status/1326733376485724160
"@TatiRomerosh5 no sé. He visto tantos. JAJAJAJA. ☹️ De segunda eso sí. Tampoco soy Donald Trump, aclaro. 🤭🤭🤭🤭",2020-11-12 03:08:32,Bogota,Bogotá,,,1326723527458820098,https://twitter.com/i/web/status/1326723527458820098
"#ESTRENO 

Donald Trump en una máquina de fakes que los medios decidieron no acaparar esta vez. Así lo vieron @OmarRinconTV, @AnaBejaranoRG y @goodluck_Bock. 

https://t.co/2wUzKBPTuE",2020-11-12 02:30:03,Bogota,Bogotá-Colombia,,,1326713841602994176,https://twitter.com/i/web/status/1326713841602994176
"#Internacional Varios altos mandos del Pentágono se mostraron alarmados, después de que la Casa Blanca continuara con los despidos de altos funcionarios civiles, reemplazándolos por otros que se perciben dentro de las fuerzas como leales al mandatario Donald Trump. https://t.co/VwjUqwUEXU",2020-11-12 02:30:00,Bogota,Bogotá- Colombia,,,1326713827526930433,https://twitter.com/i/web/status/1326713827526930433
¿Qué tal donald trump de ex novio?,2020-11-12 02:18:58,Bogota,Bogotá,,,1326711052768342017,https://twitter.com/i/web/status/1326711052768342017
"#LoMásLeído en El Mundo: Furioso por los resultados, Donald Trump comenzó su purga
https://t.co/46MNZQFuzd https://t.co/fxzTgl8IL2",2020-11-12 02:15:03,Bogota,"Bogotá, Colombia",,,1326710064728649735,https://twitter.com/i/web/status/1326710064728649735
Donald Trump hace su primera aparición desde que perdió las elecciones ► https://t.co/KLzmIPISiY https://t.co/QYuAa9Tgpp,2020-11-12 02:00:24,Bogota,"Bogotá, Colombia",,,1326706380145893376,https://twitter.com/i/web/status/1326706380145893376
"El presidente de Estados Unidos, Donald Trump, hizo este miércoles su primera aparición oficial después de las elecciones con motivo del Día de los Veteranos. Más información ➡️ https://t.co/5ldzoZtYLP https://t.co/SujqppMtcF",2020-11-12 01:45:28,Bogota,Bogotá,,,1326702620426313728,https://twitter.com/i/web/status/1326702620426313728
"Sin ninguna prueba presentada hasta ahora, Donald Trump continuará peleando en las cortes de EE. UU. bajo la teoría de un supuesto fraude. No será lo único que haga en el tiempo que le queda como mandatario, pues ha llegado la hora de ajustar cuentas. 

https://t.co/5Tq9eDHKcg https://t.co/PYDGqjsQWd",2020-11-12 01:21:00,Bogota,"Bogotá, Colombia",,,1326696463057866753,https://twitter.com/i/web/status/1326696463057866753
